timestamp,cpu_util,vm_id,vm_type
2019-01-23 09:00:00,2.1032674,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-23 10:00:00,2.053198,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-23 11:00:00,2.0761936,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-23 12:00:00,2.0614698,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-23 13:00:00,2.3854277,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-23 14:00:00,2.1847954,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-23 15:00:00,2.216943,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-23 16:00:00,2.0246468,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-23 17:00:00,2.0544984,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-23 18:00:00,2.0271893,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-23 19:00:00,2.0500853,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-23 20:00:00,2.0587156,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
2019-01-23 21:00:00,2.5081923,vm-+0Ae1sc/7s2Z9Ud/MGDY3WF8frcWDKhSejOJV39SzlYhMUGCquYlrz4ILtTgRltY,Delay-insensitive
